49	12	49	49	1	g																																																						
42	17	43	34	36	40	14	29	47	36	2	31	22	26	36	13	32	30	35	36	27	11	24	25	36	5	20	1	15	36	33	21	8	49	36	45	7	41	19	36	46	48	28	38	36	9	12	18	39	36	10	4	3	16	36	44	37	6	23	36
43	18	44	35	37	41	15	30	48	37	3	32	23	27	37	14	33	31	36	37	28	12	25	26	37	6	21	2	16	37	34	22	9	1	37	46	8	42	20	37	47	49	29	39	37	10	13	19	40	37	11	5	4	17	37	45	38	7	24	37
44	19	45	36	38	42	16	31	49	38	4	33	24	28	38	15	34	32	37	38	29	13	26	27	38	7	22	3	17	38	35	23	10	2	38	47	9	43	21	38	48	1	30	40	38	11	14	20	41	38	12	6	5	18	38	46	39	8	25	38
45	20	46	37	39	43	17	32	1	39	5	34	25	29	39	16	35	33	38	39	30	14	27	28	39	8	23	4	18	39	36	24	11	3	39	48	10	44	22	39	49	2	31	41	39	12	15	21	42	39	13	7	6	19	39	47	40	9	26	39
46	21	47	38	40	44	18	33	2	40	6	35	26	30	40	17	36	34	39	40	31	15	28	29	40	9	24	5	19	40	37	25	12	4	40	49	11	45	23	40	1	3	32	42	40	13	16	22	43	40	14	8	7	20	40	48	41	10	27	40
47	22	48	39	41	45	19	34	3	41	7	36	27	31	41	18	37	35	40	41	32	16	29	30	41	10	25	6	20	41	38	26	13	5	41	1	12	46	24	41	2	4	33	43	41	14	17	23	44	41	15	9	8	21	41	49	42	11	28	41
48	23	49	40	42	46	20	35	4	42	8	37	28	32	42	19	38	36	41	42	33	17	30	31	42	11	26	7	21	42	39	27	14	6	42	2	13	47	25	42	3	5	34	44	42	15	18	24	45	42	16	10	9	22	42	1	43	12	29	42
49	24	1	41	43	47	21	36	5	43	9	38	29	33	43	20	39	37	42	43	34	18	31	32	43	12	27	8	22	43	40	28	15	7	43	3	14	48	26	43	4	6	35	45	43	16	19	25	46	43	17	11	10	23	43	2	44	13	30	43
1	25	2	42	44	48	22	37	6	44	10	39	30	34	44	21	40	38	43	44	35	19	32	33	44	13	28	9	23	44	41	29	16	8	44	4	15	49	27	44	5	7	36	46	44	17	20	26	47	44	18	12	11	24	44	3	45	14	31	44
2	26	3	43	45	49	23	38	7	45	11	40	31	35	45	22	41	39	44	45	36	20	33	34	45	14	29	10	24	45	42	30	17	9	45	5	16	1	28	45	6	8	37	47	45	18	21	27	48	45	19	13	12	25	45	4	46	15	32	45
3	27	4	44	46	1	24	39	8	46	12	41	32	36	46	23	42	40	45	46	37	21	34	35	46	15	30	11	25	46	43	31	18	10	46	6	17	2	29	46	7	9	38	48	46	19	22	28	49	46	20	14	13	26	46	5	47	16	33	46
4	28	5	45	47	2	25	40	9	47	13	42	33	37	47	24	43	41	46	47	38	22	35	36	47	16	31	12	26	47	44	32	19	11	47	7	18	3	30	47	8	10	39	49	47	20	23	29	1	47	21	15	14	27	47	6	48	17	34	47
5	29	6	46	48	3	26	41	10	48	14	43	34	38	48	25	44	42	47	48	39	23	36	37	48	17	32	13	27	48	45	33	20	12	48	8	19	4	31	48	9	11	40	1	48	21	24	30	2	48	22	16	15	28	48	7	49	18	35	48
6	30	7	47	49	4	27	42	11	49	15	44	35	39	49	26	45	43	48	49	40	24	37	38	49	18	33	14	28	49	46	34	21	13	49	9	20	5	32	49	10	12	41	2	49	22	25	31	3	49	23	17	16	29	49	8	1	19	36	49
